No,1Engineering Workshop,1Engineering Chemistry Lab,1English Language and Communication Skills Lab,1Basic Electrical Engineering Lab,1Mathematics - 1,1Chemistry,1Basic Electrical Engineering,1English,1Applied Physics Lab,1Programming for Problem Solving Lab,1Mathematics - 2,1Applied Physics,1Programming for Problem Solving,1Engineering Graphics,2Data Structures Lab,2Python Programming Lab,2Business Economics and Financial Analysis,2Computer Organization and Architecture,2Data Structures,2Python Programming,2Discrete Mathematics,2Mathematical and Statistical Foundations,2Database management Systems Lab,2Java Programming Lab,2Operating Systems Lab,2Database Management Systems,2Operating Systems,2Object Oriented Programming Using Java,2Formal Language and Automata Theory,2Software Engineering,3Advanced Communication Skills Lab,3Computer Networks Lab,3Data Mining Lab,3Introduction to Data Science,3Devops,3Design and Analysis of Algorithms,3Data Mining,3Computer Networks,3Computer Graphics,3Machine Learning Lab,3Big Data Analytics Lab,3Cryptography and Network security Lab,3Cryptography and Network Security,3Big Data Analytics,3Industrial Management,3Machine Learning,3Compiler Design,4Predictive Analytics,4Web and Social Media Analytics,4Professional Elective - 4,4Professional Elective - 5,4Open Elective - 2,4Web and Social Media Analytics Lab,4Mini Project ,4Seminar,4Project Stage - 1,4Organizational Behaviour,4Professional Elective - 6,4Open Elective - 3,4Project Stage - 2,CGPA
1027,A+,A+,A,A+,A,B,A+,B,C,A+,A,B+,C,C,A,C,O,A+,A+,C,A,C,B+,C,A,B+,B+,A+,A,A+,C,B+,A+,B+,B+,A,C,B+,A+,B+,O,C,A,B+,C,A+,C,O,A,A,C,B,B,B+,C,B+,B,B+,A,B,7.215625
1028,A+,A,A,B+,O,A+,A+,C,B+,B,B+,A+,O,O,B,O,B+,A,A,A,A+,B,B+,A+,A+,A,O,B,B,B+,O,B,C,B+,A+,O,B+,O,O,C,B+,B+,O,B+,B+,B,O,B,A+,B,B+,O,C,A,B+,O,O,A,B+,B,7.934375
1029,B,B,C,O,A+,A+,A,A+,B,O,C,B,A,C,B+,B+,A,O,C,B+,A,A,B,B+,A,C,B+,A,A,B,C,C,C,A+,A+,O,A,B+,B,C,A+,B,B+,A,B,B,O,A,A+,B,A+,A,A+,A+,O,B,B,B+,A,O,7.475
1030,A+,B+,O,C,B+,O,O,B,A,C,A,A+,A,B+,B,A,O,B+,O,O,O,A,O,A+,A,C,B,B,B,B+,B,A,C,B,O,A+,C,O,B,B,A+,B,B,A,B,B,A,B+,A+,B,A+,O,C,C,C,A+,A,A,C,B+,7.565625
1031,A+,C,B+,B+,B,O,B,A,A+,A+,B+,A,A+,O,O,C,A,B+,B,C,B+,A+,C,A+,B,O,O,C,C,A+,B+,O,B+,B,B+,O,A,B,A,B+,C,B,B,B,B+,B+,C,B,B+,C,B+,B,B,O,C,A,C,O,O,A,7.353125
1032,B+,O,A,B,B+,B,O,A+,C,A,A,B,O,C,B+,B,B,O,O,A,B,B+,C,B,B,A,A+,B+,A,O,B+,A,A+,B+,O,A+,B,O,O,B,A,A,C,C,B,C,B+,O,C,B+,C,B+,B,B,O,B+,A+,A,A+,O,7.596875
1033,B,B+,A+,A,A+,B+,B,B+,C,B+,B+,A+,A+,B+,A+,C,O,A+,A+,B,C,B+,O,O,B,C,B+,B,C,O,A+,C,A,C,A+,A+,O,C,B,O,O,A,B+,B,O,A,O,C,B+,C,O,O,A,C,C,B+,A,A+,A,A,7.55
1034,O,B+,A,O,O,B+,O,B,C,A+,B,B+,A+,C,B+,A+,C,A+,C,A,O,A,C,A+,O,A+,B+,B,C,B,B+,B+,O,A,B,A,B,A,B,B+,O,B+,C,A,A+,A,A+,B+,A,O,A+,A+,B,A,B+,A,A+,B,B+,A,7.6125
1035,B+,O,O,C,O,B,A+,A+,B,A+,B,B,B,C,O,B+,B+,C,B,A,B+,B+,B,O,B,C,C,C,B,A,A,A+,B,B,C,B,B+,C,B+,A+,O,B,C,O,A+,C,B+,O,C,B+,B,B,A,A+,B,A+,A,B,B,B+,6.890625
1036,C,C,A+,A,A,O,A+,C,C,A,B,C,A,A,C,A+,B+,A,B,B,A+,A+,C,A,A,B+,C,O,A+,A+,A,B+,O,B,B,B+,O,C,A+,B+,O,O,C,A+,C,B,B+,B+,O,B+,O,B,B,B,A,C,C,A+,B,B+,7.2625
1037,O,B+,O,B,O,B+,A,O,B+,A+,C,A,A,O,A+,C,C,B+,B+,B,B,O,A+,C,B+,A,C,B,C,O,C,C,B,A+,A,B+,A,A+,A+,A+,C,O,A+,B+,O,B,A+,O,B,B+,C,A+,A+,B,B+,O,O,A+,B,A+,7.75
1038,O,O,O,A,B+,C,B+,B,C,B,A+,B,A+,A,B,B,A+,O,B,O,B+,A,C,A,A+,O,O,C,B,B+,A+,B+,B,B+,O,A+,A+,B+,B,A+,A,A,O,A,C,A+,B,B,A+,B,C,O,B,C,B+,A+,B,B,B+,C,7.384375
1039,A,A,A+,B+,C,O,O,O,O,A+,A,B,B,A,A+,A,A+,C,A+,B,C,A+,O,B,C,O,B,C,B,B,C,A,A+,C,A,O,B,O,A,C,A+,C,O,C,C,O,A,A,A,A+,B,A,B+,B,A,B+,A+,O,A+,B,7.55
1040,B+,A,B+,C,A+,A,B+,A+,O,O,A,A,B+,A+,O,C,A,A,A+,O,A,A+,A+,C,C,A+,B+,O,C,B,C,B,C,O,B,A+,A+,A,O,B+,A+,B+,O,C,A+,O,O,B,O,C,A+,A+,B,A+,C,C,C,A+,B+,C,7.784375
1041,B,A,C,C,B+,A+,O,B,A,C,A+,B+,C,B,O,O,A+,C,B+,O,B,A+,C,O,C,C,A+,B+,B,A+,B,B,C,C,O,B+,A,C,O,A+,A+,A,O,B,B,C,B,B+,O,O,B,O,A+,O,A+,O,B,C,B+,C,7.24375
1042,A,C,C,B,B,A,O,C,B,O,A+,A+,C,B,O,O,A+,A,O,A+,B,O,O,A,B,A+,A,B+,B,B,A+,A,C,A,C,B+,A,B,C,B+,A+,B+,A,B+,B,A,B,B+,A+,C,A+,A,B,A,C,C,A+,C,B,O,7.44375
1043,A,C,C,O,C,B,A+,A+,A,A+,C,C,A+,A+,B,A+,A,O,B,B,C,B,A,B,C,A,O,O,B,B+,A+,C,C,C,B,C,B+,C,O,C,B,B+,O,C,B+,O,A+,A+,A,A,B,O,O,A+,B,A+,O,B+,B,A+,7.428125
1044,A+,A+,A,C,B,C,C,B,A,B+,A+,A+,A+,O,B+,O,A,B+,B,C,A,B,C,C,O,B+,B+,B,C,O,A+,C,B+,B,B,O,C,O,A,B+,O,A,A,B+,O,B,B+,A+,O,C,B+,A,O,O,A+,O,O,C,A+,C,7.40625
1045,O,A,C,B,O,B+,A,A+,B,A,O,B+,B,O,C,C,O,O,A+,A,C,B+,A+,O,A,A+,A,B+,C,A+,A+,O,O,C,A,C,B,B,O,O,O,B+,O,B,B+,A+,A+,A+,A+,O,B,B,O,A+,A+,B,B,A+,O,C,7.803125
1046,A+,B,C,A+,A+,A,O,A+,B,A,A+,A,O,C,O,O,O,B+,O,C,B+,B,A+,B,B+,B+,B,B,B,C,A+,B+,O,A,A,B+,B,O,A,O,B+,A,A,B,B,O,A,C,C,A,A+,B+,A,A,A+,B+,A,A+,O,O,7.859375
1047,C,O,A+,C,O,B+,B+,O,A+,A,B+,A,B+,O,A+,B+,A,O,O,B,A,O,A,B+,B+,B+,O,A,A,A+,A+,B,B,A,O,O,C,B,O,B,A+,C,A,O,C,O,A+,C,C,O,O,A,A+,A+,B,A,A+,A+,A,B,8.06875
1048,B,C,B+,A+,C,C,B,A,A+,A+,B,B+,B+,C,B,O,B+,O,B+,A+,A,C,B+,B,C,A+,A+,A,C,O,B+,A,C,B,C,O,A,B+,A,O,A,B,C,A,B+,A,C,B,B+,B,B,A+,A,B,A,A+,B,B,B,B+,7.01875
1049,B+,B,O,C,A+,O,O,A,B,B,A,B+,A,A,A+,B,A,B,O,C,C,C,C,A,B+,B,A,C,B,C,B,B+,O,C,A,O,B,A+,C,B,A,B,B,A+,A,O,A+,A+,O,A+,O,A+,C,B+,C,B+,A+,A,B+,A,7.590625
1050,B+,O,B,B,B,A,B,B,C,C,A,B,A,B+,A+,B,B+,A,A+,O,O,C,O,B,B,B+,B,A+,B,C,A,A+,B+,O,A+,A+,A+,C,B+,A,A+,A,B,B,O,O,A+,A+,B+,O,B,B,C,A,C,A,B,B+,A,A+,7.571875
1051,O,O,A,B,B,C,A+,B+,A,A,C,O,B+,B+,B,A+,A,B+,O,C,B+,A+,A+,O,A+,O,B+,C,A,B+,A,B,B+,B+,A+,A,A,A+,B+,B+,C,A+,O,A,O,A,B,B,B+,B+,A+,A,C,A,B+,A,C,C,B+,O,7.65
1052,O,A+,C,O,A,B+,A,A+,B,O,C,A+,C,B+,B,C,C,O,A,A,B,A,O,A,B,A,A,A+,O,B+,O,O,B,O,B,O,B,B+,A,C,B,B,B,A+,A,B+,B,O,C,B,B,B+,A,A+,A,C,O,B+,O,A+,7.628125
1053,A,B,A,A+,O,B+,A+,B+,C,B,A,O,A+,B+,B,A+,A,B+,C,O,A+,B+,A,A,A+,C,A+,O,B,A,O,O,O,C,O,C,B,O,C,A+,A+,A,B,A+,A,B+,O,O,A,B+,B,A,A+,B,B,A+,A,C,O,B,7.728125
1054,A+,A,A,B,B,A+,A+,A,A,O,A,B,B+,B,C,B,A+,B+,B,B,C,A,O,A,A+,O,A,B,B+,A,B,A,B,C,A+,B+,C,A,A+,O,O,B,C,B,B,A+,O,A,O,B+,A+,B+,B+,O,O,A+,A,B,B+,C,7.434375
1055,C,C,A,A+,C,O,C,C,B+,O,B,A,O,B+,B+,O,O,C,B,B+,B,A+,A+,B+,O,A+,O,A,B+,A+,O,O,B+,A+,A,A+,B,O,B,A+,A+,B,B,A+,B+,B+,O,O,B,C,A+,A+,A,O,B,A,A,B,B+,A,7.76875
1056,C,A,O,O,A+,C,B,O,O,C,A+,A,B,B+,C,A,B+,B+,A,B,A+,A+,A+,B,A,B,B,C,B+,B+,A,A,A+,B,A+,C,O,A,A,O,A+,O,O,A+,A,O,A+,A,B,A+,A,O,C,A+,A,B+,B,B+,C,B+,7.60625
1057,B+,O,O,O,A,B+,B,O,O,C,A+,O,B,O,A+,A,A,O,B,B+,A+,C,C,A+,B,B,B,B,A+,O,A+,B,A+,A+,B,A,O,O,A+,B,B+,A+,A+,O,O,B+,B,B,A,A+,A+,B+,C,O,A,B,C,A,B+,C,7.69375
1058,O,C,B,C,A+,B,B+,C,A+,B+,B+,O,B+,B,A+,B,A+,O,A+,A,B+,A+,A+,O,A,C,C,A,B+,B,B,O,B+,O,B+,O,A+,A,B+,A,A+,O,A,A+,B+,O,A+,B,A,B,A+,O,B,A,O,O,B,C,B+,O,7.909375
1059,C,A,B,B+,O,A,A,B,B+,A+,O,O,A+,B+,A+,B,C,B,C,B+,A,O,A,A,B,B+,A,B,O,B,O,A,A+,A,B,A,A,B+,A+,B+,O,A+,B,B+,A+,B,B+,A+,O,B,C,A,C,A,O,C,B,B+,B+,C,7.38125
1060,B,A+,B+,C,B+,O,O,A+,C,A,A,B,A+,O,A+,B+,C,B,A+,C,A+,A,B+,A,C,O,A+,B,C,A+,B+,B+,B,B,C,B,C,B+,B+,O,O,O,B+,O,B+,B,A+,A,C,B,B+,A+,C,C,O,A,A+,B,A+,A,7.528125
1061,C,A+,B,C,B,O,B,B+,C,B,C,O,B,C,A,C,B,A,A,A+,A+,A,B,B,C,C,A+,B,C,B,A,O,A,A,C,B,A,A+,B+,A,C,B,O,O,B+,O,B+,A+,B+,C,O,A,B,B+,O,O,A+,C,A+,A+,7.425
1062,A+,B+,O,A,O,B,B+,C,A+,O,C,O,C,B,O,A+,C,B+,A+,O,A,B,A+,C,C,A,A,B+,B,O,O,C,C,C,A+,B,O,A,B+,C,O,O,B,C,A+,O,B+,A+,C,C,O,O,B+,B+,A,C,C,C,B,A,7.365625
1063,C,O,B+,A+,O,C,C,A+,O,A+,A+,O,O,A,A,B,A,B,B+,A+,A,O,O,C,O,B+,B+,C,B+,O,A+,C,A,A,A+,B+,O,A,C,C,A+,B,B+,B+,C,A,B,A,C,A+,A,B+,B,B,A,C,B+,A,A,A,7.571875
1064,A,B+,O,B+,A,O,O,B+,A,A+,O,B,A+,C,B,O,O,A,O,A+,A+,B,B+,C,A+,O,B,B+,C,A+,O,B+,B+,O,B,B,C,A+,A+,C,A,B+,A+,B+,O,A+,B,B+,B,C,B,A+,A,O,A,A+,A,C,B+,O,7.909375
1065,O,A+,B+,C,B,O,O,O,C,C,A+,A,C,C,B+,A+,A,A+,C,A,O,B+,A,A+,B,O,A,B,B+,O,A,C,B,A+,B,A,A,A,A,O,B,C,A,O,A,B+,A+,B+,B,A,O,A+,B+,C,B+,C,B,O,B,B+,7.675
1066,C,A,A+,B+,A,A,A,O,B,O,A,A,O,B,C,C,A,B,A,O,A,B+,A,O,A+,B+,B,C,C,B+,B+,B+,C,C,C,A+,O,B+,A,B+,O,C,O,A+,A,O,O,O,A+,C,O,A,O,B,O,A,C,A,C,B,7.578125
1067,A+,C,A,B+,B+,B+,A+,O,O,C,B+,C,B+,B+,B,B,B+,A+,A,B,B,B+,B+,O,A,A+,A+,A,B,A,A+,A+,O,B,B+,O,A+,A+,O,C,O,C,A,A,A,C,B,O,A+,B,B+,A,B+,A,B,O,A,A,O,C,7.56875
1068,C,A,B+,C,B,A+,B,B,A+,B,C,A+,C,O,B,O,C,B,A,O,A,O,O,B+,O,O,B,B+,A,O,B+,C,B,O,O,A+,O,A+,C,O,A,A+,O,A+,C,A+,C,A,B+,B+,B+,B,A,B+,A+,A+,B+,C,B,B+,7.559375
1069,A,C,B+,B,A+,B,B+,B+,B,A,B+,B,A+,B,A,A+,B,A+,O,B,O,A,A,O,A,A+,B+,O,O,C,A,A,B+,C,B,B,A,A,B+,A,O,A,C,A,A,C,O,B,B+,A+,A+,A+,A,C,C,O,B,O,B,A+,7.665625
1070,A+,A,C,O,A+,O,B+,A,B+,A,A,A+,A+,A+,C,B,C,A+,B,A+,B+,C,A,A,A+,O,B,O,B+,A,C,C,B+,B,A+,B,A+,A,A,B+,B,B,O,B+,O,B,B,O,A+,O,A,A+,A+,C,B+,B+,A,O,B+,B+,7.821875
1071,A,A,A,C,B+,A+,O,A+,C,B+,B+,C,B+,O,A,O,O,A+,B+,B,O,A+,B+,B+,B,A+,B+,A+,B+,A+,O,O,A,A,B,B+,B+,C,C,O,B,B+,B,C,B+,A,A+,B,O,B+,B+,B,B+,A,A+,O,O,A+,A+,O,7.828125
1072,O,B+,B+,C,A,C,B,B+,A+,A,O,O,C,C,A+,A+,A+,A,O,A+,B+,A,B,B+,B,O,A,B+,O,B,B+,A+,O,C,A+,O,O,B,A,A+,C,O,C,O,O,A,A,B,B,A,A,C,A+,C,O,O,O,A,A,A,7.896875
1073,A,O,B+,O,O,A+,C,B,B+,A+,B+,B+,C,O,O,B,A+,B+,O,C,A+,B+,A+,A,A+,B+,A+,C,A+,O,B+,B+,O,B+,A,A+,B,B+,B+,A+,B,B,B+,B+,C,B+,C,O,B+,C,C,C,B+,B,B+,C,B+,A,A,B,7.3
1074,B,B,B,B,A,O,B,B+,B+,O,C,B+,O,B+,A,C,A,C,A,A+,B+,A,C,C,A+,O,B+,A+,A,B,B,C,B,B,B+,A,A,A,O,O,C,A,O,B+,O,B,O,A+,B,B+,B+,A+,O,A,A+,C,B+,A,O,A+,7.71875
1075,C,O,B+,A,A,B+,O,O,B+,A,O,B,B,B+,A+,C,O,B,A,B+,B+,B,B,A,A,A,C,A,O,B+,C,C,A+,C,A+,A+,B+,B,O,B+,B,A,B+,B,B+,C,B,O,O,A+,A+,B,O,A+,A+,B+,A,A,A+,C,7.428125
1076,B,B,O,O,O,C,A,A+,B,B,O,A,O,A,O,A,A,O,A,C,O,O,A+,O,A,A+,C,C,O,A,A+,O,B,A,C,B+,B,B,B,A+,O,O,B,A+,C,B+,O,A+,O,O,A,A+,B,O,B,B+,O,C,B+,A,7.93125
1077,O,B,A+,C,B,A+,A+,B,O,A,O,O,O,A+,B+,B+,A+,B+,A,B,B,O,A,A,B,A+,A,B+,C,A+,B,O,B+,A,B,A,A+,A,C,A+,B,A+,B+,A,C,B+,O,O,B+,O,O,C,B,B,B,A,A,O,A+,A,7.975
1078,A+,A+,A,B+,A,O,B+,A+,O,C,C,C,B,A+,A+,B+,A+,A+,A+,C,A,A,O,O,B,B+,A+,B+,B,A,O,A+,O,O,A,C,C,C,B+,A,A+,A+,B,B+,A+,B+,A+,B+,A,O,B,B,C,A+,O,A,A,C,A,A+,7.640625
1079,C,A+,B,A+,O,B+,B,A,O,C,A,A+,A+,O,O,B+,B+,C,C,B+,O,B+,A,B,C,B+,B+,C,A+,O,C,A,C,A,B,B,A+,A+,A+,B+,A,A+,A+,B+,A,B+,O,B+,A+,C,A+,A+,B+,B+,B,O,B,A+,O,A,7.734375
1080,C,C,B+,A+,A,C,A+,O,A,B+,A+,B+,O,O,A,B+,B,A,B+,A,B,B+,C,B+,B+,C,A,C,O,B,C,C,A,B+,B,C,O,B,B+,B+,A,A+,C,B+,A+,A+,A+,O,O,O,A+,A,A+,A+,A+,O,B,B+,B+,B,7.475
1081,C,C,A,O,C,B+,C,B,B,B,A,C,B+,B,B,A,B,C,B,B+,O,C,B+,A,O,A+,C,C,A,A,C,A+,B+,B+,O,A+,O,A,B,C,O,A+,A+,O,O,B,A+,B,C,B,C,B+,A,A,B,B,O,C,O,A,7.16875
1082,C,B,O,C,O,C,B+,A,A+,B+,A,B+,C,B,A,O,A+,A+,B+,C,C,C,O,B+,B,O,O,A,C,A,O,A+,A,C,C,B,C,A+,C,O,C,C,B+,A+,A+,O,O,B+,O,A,C,C,O,B,O,B+,B,B+,B+,B,7.240625
1083,B,C,A+,B+,B+,B,C,B+,A,B+,A,O,C,O,O,A,O,A,C,C,C,A+,A+,O,C,B,O,A,C,C,B,A+,O,B,B,C,A+,B+,O,B+,O,B+,A,C,A+,A,O,C,C,B+,A+,A+,B,A,A,A+,C,B+,B,B,7.225
1084,A,A+,C,B,O,B+,C,B,B,A+,A,B+,B+,O,B,C,A,C,B+,B+,A+,C,A+,C,B+,O,O,O,B+,A,B,O,B,O,B+,A,O,A+,C,O,A,B+,B,C,B+,A+,C,A,A,B,A,C,B+,A,A+,C,C,O,B+,B+,7.428125
1085,A,A+,O,A,A,O,B+,A+,B+,B+,C,O,C,B+,B,A,C,B+,O,B,A+,B,A+,B,A+,B+,O,B+,B+,B,A,B,A+,B+,C,A,B+,C,A+,O,A+,A,O,A,A+,A+,B+,C,A,A,C,B,A+,B,C,O,B+,A+,B+,A,7.553125
1086,C,O,C,A+,C,B,C,B+,A,C,B,A,B,C,A+,A,A,O,B,A+,B,C,B,O,B+,C,O,A+,B+,C,A,B+,A,B,A,A+,O,C,A+,A+,C,C,O,B,O,B+,A,B+,B,A,O,B,A+,C,C,O,A,A+,B+,B,7.184375
1087,A,O,C,A,B,B+,A+,B,A+,B,A,B+,O,O,A,A,A+,B,O,A+,A+,A+,O,A,A+,O,B,B+,A,O,C,C,B+,B+,A+,A+,A+,O,C,B,B,C,B+,A,O,O,B,A+,A+,A,B,A,B,B+,C,O,B,B+,O,B,7.9125
1088,C,B+,A+,B,A+,B+,B,O,O,A,A+,O,A+,C,O,A+,C,C,C,B+,B+,A,A,B+,A,B,A,C,B+,O,O,A+,B+,A+,O,O,C,A+,A,A+,A,B,B,A,B,O,A+,O,O,A,C,A+,B+,B,A,A,A+,B+,B+,B,7.6375
1089,O,A+,O,A+,B+,C,O,B+,A+,A+,O,A+,O,B+,B+,B+,O,C,O,A,B,B,C,B+,B,A+,B+,B+,C,C,C,B+,A+,C,B+,B,A,O,B+,A+,A+,C,O,O,B+,O,A+,A+,B+,C,O,A+,B+,A+,A,B,A+,C,B,A+,7.8375
1090,C,O,B,C,B+,O,B+,A,C,A,A+,B,A,A+,B,B,O,O,B+,C,C,A+,A+,C,B+,O,A+,A,A+,B,B,B+,A+,O,C,A+,B,C,A,A,A,A,C,B,B+,O,O,A,B+,O,B+,A,A,C,B,B,A+,B+,B,A+,7.675
1091,B,B,B,B,B+,C,C,C,B,B,B,C,B,B,B,B+,B+,A+,A+,B,C,O,A,B,O,A+,O,A+,C,O,A,C,A+,B,B+,A+,A+,C,B+,O,A+,B,B,B+,B,C,A,B,B+,O,A,O,B,B+,A+,B,C,B,A+,A+,7.175
1092,B,A+,O,B+,O,O,A,C,B+,C,A+,A+,O,A+,O,A,C,C,A,O,C,B+,A,A,B,C,B,A,C,A,A,A,O,O,A,A,A,C,O,A+,A,O,B,C,A+,B+,B,B+,A,B,C,A,A,A+,A+,A+,O,A,B,B+,7.56875
1093,B+,B,O,A,C,O,C,B,B,O,C,B+,C,B+,O,A+,C,B+,B,A,B+,C,O,B+,A+,A+,B+,A,B+,C,B,A+,O,A+,A+,C,B,C,B,A,C,B,B+,A,A+,O,B,C,B,C,A+,B,A+,B+,A+,A,C,B+,B+,C,6.903125
1094,A+,B+,C,C,O,A,B+,C,C,A,O,B+,A+,C,A,O,C,B+,B,A+,A,B,B,C,B+,A+,A,A,C,C,B+,B+,C,A,O,A+,A,B,A,C,B+,A,O,B+,A+,O,B+,B+,B,C,O,B+,A,B,A+,B,B,O,A,A+,7.5625
1095,A,C,B+,O,O,B+,A+,A,B+,B+,B+,C,B+,O,A,C,B,A,A+,C,O,O,C,B+,B+,A,B,A+,O,C,O,O,A+,B,C,A+,A,C,B+,C,A,O,A+,C,A+,O,A+,A+,A+,B+,A,B,B+,A+,B,A,C,O,B,A+,7.70625
1096,B+,B+,B+,B,B+,A,B+,A,B,C,A,C,C,B+,A,B+,C,B+,A+,A+,A+,C,C,B,O,A+,C,B+,B+,A+,O,B+,O,B+,B+,C,O,A+,A+,O,A,B,A,O,B+,C,O,C,C,A,B,O,B+,C,B+,A,A+,O,B+,C,7.3125
1097,A,O,A+,B,A+,A+,B+,C,O,C,A+,A,B,A,B,A,B,B,C,A+,O,A+,O,B,O,B+,B,A,C,A+,O,B,O,A,B+,B,A+,B+,O,A+,A+,B+,A,C,B,O,A+,O,A,O,B+,A+,O,O,B,A+,A,O,B,C,7.753125
1098,O,A+,B,C,O,A,C,C,A,A+,A+,O,B,O,O,A,B+,A,A+,B+,C,A+,B+,A+,O,A+,O,O,A,B,C,O,A,A+,C,C,B+,C,A,O,A+,A+,C,C,B+,C,B,A+,B,B,C,C,A,B,B+,C,A+,C,A+,C,7.3
1099,B+,B,C,B,B+,C,O,O,B+,A,B,A+,O,O,C,A,O,O,B,O,A+,B+,B+,A+,B,B,B+,A,B,O,A,A,B,A,B+,A,O,A,C,O,C,B,B,O,C,A+,B+,O,O,B+,B+,A,C,C,B,A+,C,B+,A+,A,7.678125
1100,B,O,O,B,O,B,B,B+,A,A+,B+,B,O,B,A+,O,A,A,B,C,A+,B,B+,B,O,C,B+,A+,O,O,A,B+,B,B,O,C,A+,A+,B+,O,C,A+,B,O,A,C,C,B+,B,O,B+,C,B,B+,A+,B+,C,C,O,C,7.278125
1101,O,B+,B,C,B,A,A,B+,A+,O,A+,A+,A+,A+,O,C,O,O,B,C,B,A,B+,B+,A,A,O,B+,A+,A,A+,A+,C,B,B,B,C,A,A,C,A,A+,B,C,O,O,C,C,B,A,A,O,A,A+,O,C,A+,B+,A+,B,7.559375
1102,C,B+,O,O,A,A,B+,A,B+,A,B+,A,A,O,O,C,C,C,C,B+,B,B+,B+,A,C,A+,C,A+,B+,C,C,A,B+,C,C,A,B+,O,O,B,B+,C,O,A,A+,O,O,B+,C,C,B,A,C,C,B+,A,O,A+,B+,B+,7.375
1103,C,B,A+,A+,A,B+,B,C,O,A,B,B+,O,O,B+,C,O,A+,B+,A+,O,B,B,A,B,O,B,C,A+,A+,B,A,B+,C,B,A+,B,B+,B+,B+,B,C,A+,A,A,O,O,A+,A,O,C,A,C,O,B,A,A+,A+,A,O,7.840625
1104,A,A+,B,C,B,A+,B+,A,O,C,C,B+,C,B,A,A,A,C,O,B,B+,B+,B,A,A,C,B+,B,B+,C,A+,A,C,B,O,B,B,A+,O,B+,A,A,B+,B,C,A,A,A+,A+,B,B,A,O,C,O,A,C,A,B,A+,7.125
1105,B,A+,C,A+,B,O,A,A+,O,C,B,B+,C,B+,A+,A+,A+,B+,O,C,A,A+,B,O,B+,C,B,B+,B,B+,C,A+,B+,A+,A,C,A,C,C,A+,O,B+,B+,C,B,B,B,C,B,B+,B,A+,B+,C,A+,C,O,A+,B+,C,6.95625
1106,B,B+,C,B+,O,A+,A,A,O,A+,A+,A,A+,C,B,B,B,B,C,C,A,C,A,O,B+,C,C,B,A,O,C,O,A+,A+,C,A+,A+,B,B+,A,B,A,A,C,B+,A,A,O,C,O,C,O,A+,B,B+,O,A+,C,B+,A+,7.46875
1107,A,O,B,B,B+,O,A+,B+,A,A+,O,O,A,B+,C,O,A+,O,A+,B,C,B,A,B+,B+,C,A+,A,C,B,A,B,B,B+,O,B,A,A,O,B+,C,O,O,B+,C,B+,A,C,B,B,O,A,A+,C,B,B,B,B,A,C,7.421875
1108,O,B+,B,B+,O,B,O,O,A,A,C,C,A,B,A,C,O,A+,A,A,A,A,B,C,B,C,A+,C,A+,A,B+,A+,A+,B+,C,A,B+,A,B,C,C,C,O,B,C,B+,A,B,C,B+,A,B,A,B+,A,A+,A,C,A,B,7.18125
1109,A,A,C,B,O,A,O,B+,A,A,O,B,A+,C,O,C,B,A,B+,A+,B+,A+,A+,B,A+,B+,A+,A+,O,A,C,B+,C,O,B+,B,O,B+,C,A,O,A+,B,B+,B+,B,A,B+,O,B,B+,C,O,B,A,C,A,A,O,B+,7.615625
1110,O,B+,A,A+,O,C,A,B,B+,B+,C,C,A+,B+,O,A,A,O,A,B,O,C,O,C,C,B,A+,B,A+,B+,C,B,A,O,O,A+,O,A+,O,C,O,B,O,B+,C,O,B,B+,O,A+,O,C,A+,A,A,A,C,A+,B,B,7.653125
1111,B,O,O,C,B,O,B+,A+,A+,C,O,A,B+,A,B,A+,B,C,C,A,O,A,C,B,C,B+,O,O,C,A,O,A+,B,B,A,A+,B,C,A,O,B,C,C,A+,B,O,O,A+,C,A+,O,B+,C,B+,A,A+,C,C,A,A,7.575
1112,A,C,O,B+,C,A+,O,C,B+,A+,B,O,C,A,B+,B+,B,C,C,B+,B,A+,A,A,O,B,B+,C,C,C,C,O,A+,O,A+,A,C,O,A+,O,B,O,O,C,O,O,C,B,O,A,B+,A+,C,A+,B+,B+,C,A+,B+,B+,7.30625
1113,A,O,B+,C,A,O,O,A+,A+,A,A+,A+,A,B,O,O,O,C,C,B,A+,O,A,O,C,C,C,B+,A+,B+,A,O,A,B,A,A+,A,B,B+,O,O,O,A,A,B,O,C,C,B,C,B,O,B,O,A,O,A,C,B+,C,7.55625
1114,A+,B,A+,B+,B,B,C,C,A,B,C,B,A,A+,A+,B+,B+,B,C,B+,B,B,B,C,C,A,B,A,O,C,B,C,A+,C,A,A+,C,A,B,B,A+,B+,A+,O,O,C,B+,B,A+,C,A,O,B,C,A+,B+,O,A+,B+,A,7.096875
1115,B,A+,B+,B+,B,O,O,B,C,B,A,C,A,B,A+,B,A+,A+,B,B+,C,B,A+,B+,A,B,A+,A+,B+,A+,O,B+,B+,C,O,A+,A,B+,C,A,B+,B,A,A,O,C,A+,B,A,A+,C,B,C,B+,O,A+,A,O,B+,B,7.390625
1116,C,A,C,A+,A,C,A,O,B+,A+,B,C,A,O,B,A+,C,A,C,A,O,A,O,B+,C,A+,A+,B+,C,O,C,C,B+,A,B+,O,C,A+,B+,A,C,O,B+,A,A+,B+,B+,A+,A+,C,A+,B,C,B,A+,A+,A,A+,A,B,7.39375
